Player,Team,Level,Position,Throws,Age,Year,AB Before Surgery,IP Before Surgery,G Before Surgery
Rayan Gonzalez,COL,AA,RP,R,26,2017,0,358.3,225
Trey Turner,WAS,Coll,RP,R,21,2017,7,13.3,7
Bo Schultz,TOR,MLB,RP,R,31,2017,44,592.6,297
Will Smith,SF,MLB,RP,L,27,2017,0,292.3,242
Connor Overton,SF,A+,RP,R,23,2017,0,162.6,113
Cody Anderson,CLE,MLB,SP,R,26,2017,3,620.6,138
Brock Love,MIA,Coll,RP,R,20,2017,0,46.6,17
Devin Williams,MIL,A+,SP,R,22,2017,0,287.3,72
Trevor May,MIN,MLB,SP,R,27,2017,23,982,253
Justin Alleman,SF,Rk,RP,R,23,2017,0,191.6,53
Alex Kirilloff,MIN,HS,OF,L,19,2017,0,0,0
Mason Cole,TEX,Coll,RP,R,19,2017,0,3,2
Luis Gamez,ATL,Rk,RP,R,20,2017,0,86.6,40
Cody Scroggins,BOS,Coll,RP,R,20,2017,49,5.6,7
Jeremy Kivel,CIN,A,RP,R,23,2017,0,182.6,100
Doug Norman,CIN,Coll,RP,R,21,2017,0,110.3,62
Xavier Fernandez,KC,A,C,R,21,2017,662,0,194
Jake Walkinshaw,OAK,Coll,RP,R,20,2017,0,95.3,47
Alex Reyes,STL,MLB,SP,R,22,2017,31,380.3,81
Jason Coats,CHW,MLB,OF,R,27,2017,1896,0,507
Rayan Hernandez,SF,A-,RP,R,21,2017,0,105.6,72
Keegan James,COL,Coll,RP,R,20,2017,0,25,14
Tristin English,ARI,Coll,1B,R,20,2017,222,0,60
Nick Meservey,BAL,Coll,SP,L,21,2017,0,126.6,37
Corey Zangari,CHW,Rk,1B,R,20,2017,637,0,164
Sarkis Ohanian,CIN,A+,RP,R,23,2017,1,216,151
Andy Cox,CIN,A,RP,L,23,2017,0,310.6,115
Nick Hanson,CIN,Rk,SP,R,19,2017,0,16.6,8
Andrew Wright,CIN,Rk,RP,L,22,2017,12,37.3,23
Javier Medina,COL,A-,SP,R,20,2017,0,73.6,18
Alex Haynes,COL,HS,SP,R,20,2017,0,0,0
Blair Calvo,COL,HS,SP,R,21,2017,0,0,0
Jose Urquidy,HOU,A+,SP,R,22,2017,0,163,35
C.J. Stubbs,HOU,Coll,SP,R,20,2017,33,106.3,26
Andrew Edwards,KC,AA,RP,R,25,2017,0,349.3,177
Stiward Aquino,LAA,Rk,SP,R,18,2017,0,29.3,9
Victor Gonzalez,LAD,A,SP,L,21,2017,0,253.6,64
Nick Robertson,LAD,HS,RP,R,19,2017,0,0,0
Joe Mortillaro,LAD,Rk,SP,R,23,2017,0,153,45
Alec Gamboa,LAD,HS,SP,L,20,2017,0,0,0
